,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
point_of_interest_ratio_scaled,-0.11557311264804007,0.2843474631170886,0.16173816039297315,-0.037707862770257186,0.21123708865258767,-0.09279825755194092,0.019409630867081744,-0.0631281558948931,-0.0948183399054458,-0.06357386734531748,0.014166918274799751,0.0064383294232530025,7.638059929757928e-05,0.04768642641011647,-0.036147072907892014,-0.04236696579173367,0.016804340923230847,0.007809293931065841,-0.1515252917452706,-0.14178383243431372,0.13594075054673202
feature_category_count_scaled,0.24718385919426125,0.17536761630099887,-0.05511673164016896,-0.05925840371242007,0.14686420450719812,-0.06936324077088427,0.10323906762818774,-0.05127407485111612,0.1326826576341664,0.015502395202596046,-0.0684848303922137,-0.011166746196610523,-0.024546617876244365,0.05425217004193467,0.05399514307879703,0.0057533814401650426,-0.05019819133303618,-0.14803297340620508,-0.14336395636493038,0.00832057142425845,-0.09770330106855411
top_feature_ratio_scaled,0.04515028776077177,-0.2689183483572855,-0.004962161615280481,0.09620210320041397,-0.218486083277166,0.13874692257764695,-0.11204492565649773,0.0678626646544409,0.042956652115194935,-0.0907878795921522,0.13425847535669314,0.014501753822386214,-0.08549445037117623,-0.1747638570330333,0.16413104368428788,-0.0022530923838233285,0.18920920764860624,0.09534276018880564,0.11650556045905225,-0.08041514805959298,0.199288865693953
node_ratio_scaled,-0.11057020825937273,0.28305626684347934,0.1518732462253397,-0.12927727269732583,-0.21280595914348924,0.024355522420370396,0.0014661619046076931,0.08116874167156367,0.041889452409028284,-0.14159867830996176,-0.11970171513944836,-0.004497060565313738,0.012046286974154117,0.05350190578908873,-0.08413732126715642,-0.1217811079968423,0.14795118800169602,-0.035989438424446005,-0.15847355165809335,-0.055048797363588864,-0.2108322614435873
way_ratio_scaled,0.10664191169322404,-0.27797660833259497,-0.09153557857828204,0.1441538907942534,0.24312514051639456,0.0414533717454244,-0.0022402854541785943,-0.027029954177053304,-0.03513591046914077,0.24130947763043598,0.17552229525342142,-0.05146414034484347,0.01122755976413407,-0.016584022330777482,0.18283422140575706,0.03846773506770329,-0.10513687579763165,0.03176093275538701,0.09385883536684678,-0.043546856746009416,0.15143442653251407
relation_ratio_scaled,0.01563255910264647,-0.02278423862833659,-0.2117411372337077,-0.049147391719525,-0.10109400135958437,-0.2283490737252306,0.0026539629989898767,-0.18897670955624782,-0.024156635160934633,-0.3427099132998387,-0.19111576818770049,0.19388128585463218,-0.08082047050320496,-0.12883156348604924,-0.3402528659622017,0.29075605028305634,-0.15098419280395192,0.015303961519260558,0.22667403824733845,0.34245573246297456,0.20956806465337172
geometry_tag_ratio_scaled,0.06954454083508767,-0.044215800691263706,-0.3176300736222084,-0.1496563811876311,-0.06402494683137155,-0.19817147048461428,0.004080662608384215,-0.31299234650569574,-0.13633403173917055,-0.1241153709412199,0.004810996358651331,-0.05017742635208666,-0.10724336614004096,-0.14772580575893215,-0.04732678411129135,0.02450984495040059,-0.010802555040853595,-0.033920229949794656,-0.17556421123106036,-0.07020198181988825,-0.004482485426279145
new_keys_ratio_scaled,-0.11025983014157752,0.13076359908516597,0.23013443041957862,-0.047142404748939826,0.045685448584361674,-0.09035880707385527,-0.1362470531196777,0.13685061302829743,0.34614847959811335,-0.016928764152287088,0.19123775932001394,0.02450309858351212,-0.04252339767418762,0.19308818466778518,-0.20099768997870796,-0.02546935487885897,0.011511333864326536,-0.0565975373689375,0.39650320559147484,0.07522019859317086,0.11714655872257569
deleted_keys_ratio_scaled,-0.016861430844113238,0.05096629444781555,-0.14493122097960556,-0.23382746373829894,-0.0383124004495299,-0.117935206784966,0.21061393502413525,0.4950279316776479,-0.17762070300902294,0.06483124596733321,0.010988344660600963,0.0004689483975188915,-0.03314221508060307,0.033538094239240694,0.026028841961813955,0.08223074549265631,-0.11779772912533022,0.013784756900424237,0.13492866789909785,-0.07972950691615434,0.0832165093945177
keys_per_changeset_ratio_scaled,0.1785119266093071,-0.034192131373125115,0.09420907836094845,-0.3207906793914108,0.11948811694012103,0.2553541354202079,0.054575579928160735,0.12910387627886558,0.1532805199360004,-0.13027433728272353,0.13605169039193535,0.03699881120200764,-0.04785418873507113,0.020843336001335012,-0.25884851089627425,-0.07393222663055078,0.004798051182757816,-0.09211369157066623,0.23669277328831118,-0.023117467894848434,0.08359170713082117
